,id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo,numero_familiares,sector_servicios,sector_industria,sector_construccion,sector_agricultura_ganaderia_pesca,Otros,nan_filas
3388,U-003700,2020-09-21,España,Asturias,Principado de Asturias,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"46,19,18,17",No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,4,0,0,0,0,0,0
3389,U-003701,2020-09-21,España,Euskadi,Vizcaya,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,1 año,55,No,No,No,Hasta 450€,Primera residencia,Pueblos de Soria,3 meses,1,0,0,0,0,0,0
3390,U-003702,2020-09-21,España,Madrid,Torrejón de Ardoz,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dependiente,3 meses,"52,50,13",No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses,3,1,0,0,0,0,0
3391,U-003703,2020-09-21,España,Tarragona,Salou,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Encargado,3 meses,"33,32",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses,2,0,0,0,0,0,0
3392,U-003705,2020-09-21,España,Andalucía,MEDINA SIDONIA CADIZ,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,1 año,"55,52,24",No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses,3,0,0,0,0,1,0
3393,U-003706,2020-09-21,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Desempleado,3 meses,"32,28,9,1,6",No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,5,0,0,0,0,1,0
3394,U-003707,2020-09-21,España,Comunitat Valenciana,Pilar de la Horadada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercial,3 meses,"62,52",Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,2,1,0,0,0,0,0
3395,U-003708,2020-09-21,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Economista,3 meses,45,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses,1,1,0,0,0,0,0
3396,U-003709,2020-09-21,Resto de Europa (dentro de UE),Ninguna,"LUMMEN, BELGICA",Tengo nacionalidad española / de un país de la UE / permiso de residencia,Electricista,Más de 1 año,"40,39,8,2,0",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando,5,0,0,1,0,0,0
3397,U-003710,2020-09-21,España,Madrid,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro,3 meses,"2,9,41,37",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,3 meses,4,1,0,0,0,0,0
